# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0648409 0.0648409
200 0.349495 0.349495
300 0.665219 0.665219
400 0.863087 0.863087
500 1.02266 1.02266
600 1.19414 1.19414
700 1.38078 1.38078
800 1.55022 1.55022
900 1.67102 1.67102
1000 1.768 1.768
1100 1.85081 1.85081
1200 1.90099 1.90099
1300 1.94142 1.94142
1400 2.0621 2.0621
1500 2.22835 2.22835
1600 2.39023 2.39023
1700 2.51054 2.51054
1800 2.56216 2.56216
1900 2.65247 2.65247
2000 2.83135 2.83135
2100 3.0202 3.0202
2200 3.21935 3.21935
2300 3.4426 3.4426
2400 3.667 3.667
2500 3.83819 3.83819
2600 3.92917 3.92917
2700 4.04012 4.04012
2800 4.23592 4.23592
2900 4.35262 4.35262
3000 4.52621 4.52621
3100 4.73981 4.73981
3200 4.88799 4.88799
3300 5.06918 5.06918
3400 5.2843 5.2843
3500 5.49374 5.49374
3600 5.67515 5.67515
3700 5.81583 5.81583
3800 5.92235 5.92235
3900 6.0909 6.0909
4000 6.33135 6.33135
4100 6.59753 6.59753
4200 6.86959 6.86959
4300 7.00618 7.00618
4400 7.20318 7.20318
4500 7.38156 7.38156
4600 7.46188 7.46188
4700 7.52311 7.52311
4800 7.54804 7.54804
4900 7.54521 7.54521
5000 7.48403 7.48403
5100 7.34163 7.34163
5200 7.3636 7.3636
5300 7.45924 7.45924
5400 7.61535 7.61535
5500 7.83837 7.83837
5600 8.03309 8.03309
5700 8.21742 8.21742
5800 8.1934 8.1934
5900 8.07848 8.07848
6000 8.09415 8.09415
6100 8.09768 8.09768
6200 8.09945 8.09945
6300 8.2714 8.2714
6400 8.34849 8.34849
6500 8.28415 8.28415
6600 8.27523 8.27523
6700 8.51422 8.51422
6800 8.87059 8.87059
6900 9.0788 9.0788
7000 9.28184 9.28184
7100 9.61399 9.61399
7200 9.94269 9.94269
7300 10.2546 10.2546
7400 10.403 10.403
7500 10.3629 10.3629
7600 10.4041 10.4041
7700 10.5017 10.5017
7800 10.5584 10.5584
7900 10.6237 10.6237
8000 10.74 10.74
8100 10.8708 10.8708
8200 11.0266 11.0266
8300 11.1982 11.1982
8400 11.3541 11.3541
8500 11.7414 11.7414
8600 12.056 12.056
8700 12.1746 12.1746
8800 12.3423 12.3423
8900 12.4559 12.4559
9000 12.5132 12.5132
9100 12.6814 12.6814
9200 12.767 12.767
9300 12.7009 12.7009
9400 12.6192 12.6192
9500 12.6799 12.6799
9600 12.537 12.537
9700 12.477 12.477
9800 12.4393 12.4393
9900 12.3117 12.3117
10000 12.4699 12.4699
10100 12.8713 12.8713
10200 13.0778 13.0778
10300 13.2367 13.2367
10400 13.2763 13.2763
10500 13.3108 13.3108
10600 13.2731 13.2731
10700 13.0035 13.0035
10800 12.9623 12.9623
10900 13.1756 13.1756
11000 13.5275 13.5275
11100 13.8452 13.8452
11200 13.9489 13.9489
11300 13.9187 13.9187
11400 14.1983 14.1983
11500 14.6239 14.6239
11600 15.0752 15.0752
11700 15.5325 15.5325
11800 15.7443 15.7443
11900 15.6313 15.6313
12000 15.7412 15.7412
12100 16.2044 16.2044
12200 16.4091 16.4091
12300 16.4363 16.4363
12400 16.4034 16.4034
12500 16.3834 16.3834
12600 16.6869 16.6869
12700 16.9941 16.9941
12800 17.1201 17.1201
12900 17.2656 17.2656
13000 17.4175 17.4175
13100 17.4837 17.4837
13200 17.6531 17.6531
13300 17.9563 17.9563
13400 18.1354 18.1354
13500 18.2417 18.2417
13600 18.471 18.471
13700 18.844 18.844
13800 19.2678 19.2678
13900 19.5776 19.5776
14000 19.7239 19.7239
14100 20.0007 20.0007
14200 20.6022 20.6022
14300 21.1842 21.1842
14400 21.5507 21.5507
14500 21.932 21.932
14600 22.2499 22.2499
14700 22.3904 22.3904
14800 22.5242 22.5242
14900 22.5484 22.5484
15000 22.6812 22.6812
15100 22.5414 22.5414
15200 22.4423 22.4423
15300 22.8792 22.8792
15400 23.1821 23.1821
15500 23.1843 23.1843
15600 23.3168 23.3168
15700 23.6188 23.6188
15800 23.771 23.771
15900 23.7735 23.7735
16000 23.8988 23.8988
16100 24.2834 24.2834
16200 24.6101 24.6101
16300 24.7793 24.7793
16400 25.0395 25.0395
16500 25.1883 25.1883
16600 25.3901 25.3901
16700 25.4927 25.4927
16800 25.5318 25.5318
16900 25.6828 25.6828
17000 25.7981 25.7981
17100 25.8482 25.8482
17200 26.0606 26.0606
17300 26.3293 26.3293
17400 26.433 26.433
17500 26.691 26.691
17600 26.8163 26.8163
17700 26.706 26.706
17800 26.6551 26.6551
17900 26.46 26.46
18000 26.4573 26.4573
18100 26.6825 26.6825
18200 27.242 27.242
18300 27.8068 27.8068
18400 27.8701 27.8701
18500 27.8462 27.8462
18600 27.7618 27.7618
18700 27.844 27.844
18800 28.1723 28.1723
18900 28.2548 28.2548
19000 28.1356 28.1356
19100 28.2082 28.2082
19200 28.6053 28.6053
19300 29.0869 29.0869
19400 29.1938 29.1938
19500 29.0154 29.0154
19600 28.8195 28.8195
19700 28.982 28.982
19800 29.1795 29.1795
19900 29.0865 29.0865
20000 29.0605 29.0605
20100 29.3887 29.3887
20200 29.527 29.527
20300 29.2798 29.2798
20400 29.0201 29.0201
20500 29.1047 29.1047
20600 29.2196 29.2196
20700 28.9722 28.9722
20800 28.8759 28.8759
20900 29.047 29.047
21000 29.1504 29.1504
21100 28.9927 28.9927
21200 28.8966 28.8966
21300 28.838 28.838
21400 28.6544 28.6544
21500 28.4979 28.4979
21600 28.5338 28.5338
21700 28.5171 28.5171
21800 28.15 28.15
21900 28.0563 28.0563
22000 28.4225 28.4225
22100 28.6552 28.6552
22200 28.7641 28.7641
22300 28.9156 28.9156
22400 29.0067 29.0067
22500 29.3525 29.3525
22600 29.9232 29.9232
22700 30.2489 30.2489
22800 30.684 30.684
22900 31.0287 31.0287
23000 31.1841 31.1841
23100 31.3241 31.3241
23200 31.3861 31.3861
23300 31.7124 31.7124
23400 32.1168 32.1168
23500 32.277 32.277
23600 32.5078 32.5078
23700 32.5968 32.5968
23800 32.6759 32.6759
23900 32.8923 32.8923
24000 32.9128 32.9128
24100 32.8516 32.8516
24200 33.0268 33.0268
24300 33.2645 33.2645
24400 32.9691 32.9691
24500 32.8449 32.8449
24600 33.1644 33.1644
24700 33.4453 33.4453
24800 33.7156 33.7156
24900 33.9195 33.9195
25000 33.9641 33.9641
25100 33.9844 33.9844
25200 33.9817 33.9817
25300 33.9584 33.9584
25400 34.0045 34.0045
25500 34.5089 34.5089
25600 34.7949 34.7949
25700 34.7848 34.7848
25800 34.9969 34.9969
25900 34.9626 34.9626
26000 34.6538 34.6538
26100 34.7234 34.7234
26200 34.8132 34.8132
26300 34.8804 34.8804
26400 34.9297 34.9297
26500 35.0071 35.0071
26600 34.9872 34.9872
26700 35.1762 35.1762
26800 35.3387 35.3387
26900 35.342 35.342
27000 35.1872 35.1872
27100 35.2464 35.2464
27200 35.7187 35.7187
27300 36.2119 36.2119
27400 36.3478 36.3478
27500 36.3613 36.3613
27600 36.2592 36.2592
27700 36.0222 36.0222
27800 35.7223 35.7223
27900 35.4523 35.4523
28000 34.985 34.985
28100 34.8984 34.8984
28200 34.8924 34.8924
28300 35.0045 35.0045
28400 35.158 35.158
28500 35.5822 35.5822
28600 35.871 35.871
28700 35.8704 35.8704
28800 35.7142 35.7142
28900 35.6876 35.6876
29000 36.0114 36.0114
29100 36.2613 36.2613
29200 36.4299 36.4299
29300 36.5401 36.5401
29400 36.8051 36.8051
29500 37.265 37.265
29600 37.3541 37.3541
29700 37.3725 37.3725
29800 37.6344 37.6344
29900 37.7246 37.7246
30000 37.7285 37.7285
30100 37.8538 37.8538
30200 37.6931 37.6931
30300 37.6587 37.6587
30400 38.1231 38.1231
30500 38.3084 38.3084
30600 38.1723 38.1723
30700 38.1704 38.1704
30800 38.4093 38.4093
30900 38.6334 38.6334
31000 38.853 38.853
31100 38.894 38.894
31200 38.4621 38.4621
31300 38.191 38.191
31400 38.3739 38.3739
31500 38.1068 38.1068
31600 37.4993 37.4993
31700 37.1381 37.1381
31800 37.0888 37.0888
31900 37.5495 37.5495
32000 37.717 37.717
32100 37.7787 37.7787
32200 37.8664 37.8664
32300 38.0192 38.0192
32400 38.0546 38.0546
32500 37.9647 37.9647
32600 37.9527 37.9527
32700 38.0065 38.0065
32800 38.2677 38.2677
32900 38.2738 38.2738
33000 38.1803 38.1803
33100 38.2456 38.2456
33200 38.4448 38.4448
33300 38.6187 38.6187
33400 38.482 38.482
33500 38.5801 38.5801
33600 38.7515 38.7515
33700 38.552 38.552
33800 38.4647 38.4647
