# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.066936 0.066936
200 0.331588 0.331588
300 0.629707 0.629707
400 0.901254 0.901254
500 1.20568 1.20568
600 1.50736 1.50736
700 1.66212 1.66212
800 1.75822 1.75822
900 1.91207 1.91207
1000 2.19402 2.19402
1100 2.51621 2.51621
1200 2.8 2.8
1300 3.09977 3.09977
1400 3.26615 3.26615
1500 3.48381 3.48381
1600 3.86808 3.86808
1700 4.19004 4.19004
1800 4.46179 4.46179
1900 4.6737 4.6737
2000 4.93405 4.93405
2100 5.12255 5.12255
2200 5.19983 5.19983
2300 5.37314 5.37314
2400 5.42716 5.42716
2500 5.35281 5.35281
2600 5.31999 5.31999
2700 5.30366 5.30366
2800 5.31259 5.31259
2900 5.37618 5.37618
3000 5.54136 5.54136
3100 5.79461 5.79461
3200 5.97381 5.97381
3300 6.16502 6.16502
3400 6.31946 6.31946
3500 6.4538 6.4538
3600 6.69348 6.69348
3700 6.87206 6.87206
3800 7.10631 7.10631
3900 7.54471 7.54471
4000 8.07148 8.07148
4100 8.32048 8.32048
4200 8.31009 8.31009
4300 8.51192 8.51192
4400 8.57842 8.57842
4500 8.57534 8.57534
4600 8.68431 8.68431
4700 8.80565 8.80565
4800 8.89974 8.89974
4900 8.9032 8.9032
5000 8.97048 8.97048
5100 9.20546 9.20546
5200 9.49231 9.49231
5300 9.69439 9.69439
5400 9.64503 9.64503
5500 9.70224 9.70224
5600 9.80753 9.80753
5700 9.96789 9.96789
5800 10.1693 10.1693
5900 10.1596 10.1596
6000 10.1434 10.1434
6100 10.0932 10.0932
6200 10.1362 10.1362
6300 10.3117 10.3117
6400 10.3481 10.3481
6500 10.3937 10.3937
6600 10.4461 10.4461
6700 10.5199 10.5199
6800 10.7873 10.7873
6900 11.0191 11.0191
7000 11.1645 11.1645
7100 11.4128 11.4128
7200 11.707 11.707
7300 11.911 11.911
7400 12.0363 12.0363
7500 12.0806 12.0806
7600 12.1723 12.1723
7700 12.2448 12.2448
7800 12.2602 12.2602
7900 12.5013 12.5013
8000 12.8788 12.8788
8100 13.1768 13.1768
8200 13.3583 13.3583
8300 13.6516 13.6516
8400 13.9857 13.9857
8500 14.0836 14.0836
8600 13.9325 13.9325
8700 13.8525 13.8525
8800 13.9752 13.9752
8900 14.3262 14.3262
9000 14.5579 14.5579
9100 14.5523 14.5523
9200 14.5185 14.5185
9300 14.9168 14.9168
9400 15.4065 15.4065
9500 15.4517 15.4517
9600 15.4883 15.4883
9700 15.9778 15.9778
9800 16.4438 16.4438
9900 16.6229 16.6229
10000 16.7848 16.7848
10100 17.1796 17.1796
10200 17.3029 17.3029
10300 17.2381 17.2381
10400 17.5583 17.5583
10500 17.8807 17.8807
10600 18.1362 18.1362
10700 18.5589 18.5589
10800 18.995 18.995
10900 19.273 19.273
11000 19.2004 19.2004
11100 18.805 18.805
11200 18.6066 18.6066
11300 18.7655 18.7655
11400 19.2448 19.2448
11500 19.8623 19.8623
11600 20.2761 20.2761
11700 20.4405 20.4405
11800 20.5187 20.5187
11900 20.8579 20.8579
12000 21.3816 21.3816
12100 21.7945 21.7945
12200 22.0114 22.0114
12300 21.9755 21.9755
12400 21.8222 21.8222
12500 21.9622 21.9622
12600 22.2017 22.2017
12700 22.7485 22.7485
12800 23.4921 23.4921
12900 24.0182 24.0182
13000 24.0503 24.0503
13100 24.1376 24.1376
13200 24.342 24.342
13300 24.585 24.585
13400 24.9749 24.9749
13500 25.3012 25.3012
13600 25.1805 25.1805
13700 24.7807 24.7807
13800 24.7019 24.7019
13900 24.8018 24.8018
14000 24.7552 24.7552
14100 25.0261 25.0261
14200 25.4904 25.4904
14300 25.7787 25.7787
14400 25.9643 25.9643
14500 25.9603 25.9603
14600 26.1032 26.1032
14700 26.4176 26.4176
14800 26.5787 26.5787
14900 26.4376 26.4376
15000 26.4491 26.4491
15100 26.5791 26.5791
15200 26.5206 26.5206
15300 26.5509 26.5509
15400 26.6773 26.6773
15500 26.9398 26.9398
15600 27.3715 27.3715
