# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0677516 0.0677516
200 0.355179 0.355179
300 0.662337 0.662337
400 0.870767 0.870767
500 1.03273 1.03273
600 1.19697 1.19697
700 1.35129 1.35129
800 1.55107 1.55107
900 1.75315 1.75315
1000 1.92214 1.92214
1100 2.06105 2.06105
1200 2.11199 2.11199
1300 2.17234 2.17234
1400 2.2632 2.2632
1500 2.33371 2.33371
1600 2.39379 2.39379
1700 2.62823 2.62823
1800 2.89209 2.89209
1900 3.06679 3.06679
2000 3.1408 3.1408
2100 3.19391 3.19391
2200 3.37378 3.37378
2300 3.53766 3.53766
2400 3.54289 3.54289
2500 3.57817 3.57817
2600 3.6016 3.6016
2700 3.63945 3.63945
2800 3.63827 3.63827
2900 3.71765 3.71765
3000 3.93381 3.93381
3100 4.24309 4.24309
3200 4.62413 4.62413
3300 5.05652 5.05652
3400 5.41174 5.41174
3500 5.60137 5.60137
3600 5.77774 5.77774
3700 6.083 6.083
3800 6.56793 6.56793
3900 6.97609 6.97609
4000 7.23281 7.23281
4100 7.41094 7.41094
4200 7.35294 7.35294
4300 7.26088 7.26088
4400 7.30312 7.30312
4500 7.49495 7.49495
4600 7.76448 7.76448
4700 7.90672 7.90672
4800 7.99983 7.99983
4900 8.1514 8.1514
5000 8.40296 8.40296
5100 8.61607 8.61607
5200 8.62756 8.62756
5300 8.54071 8.54071
5400 8.47152 8.47152
5500 8.60969 8.60969
5600 8.84897 8.84897
5700 8.97233 8.97233
5800 9.20182 9.20182
5900 9.6123 9.6123
6000 10.074 10.074
6100 10.4652 10.4652
6200 10.6896 10.6896
6300 10.9044 10.9044
6400 11.0548 11.0548
6500 11.0032 11.0032
6600 10.8979 10.8979
6700 10.8534 10.8534
6800 10.9668 10.9668
6900 11.0554 11.0554
7000 10.9314 10.9314
7100 10.7932 10.7932
7200 10.7168 10.7168
7300 10.5777 10.5777
7400 10.5372 10.5372
7500 10.6105 10.6105
7600 10.6306 10.6306
7700 10.7429 10.7429
7800 11.06 11.06
7900 11.6036 11.6036
8000 12.0294 12.0294
8100 12.3378 12.3378
8200 12.6685 12.6685
8300 12.8566 12.8566
8400 13.2797 13.2797
8500 13.9374 13.9374
8600 14.4481 14.4481
8700 14.6356 14.6356
8800 14.6219 14.6219
8900 14.7143 14.7143
9000 14.8443 14.8443
9100 14.9297 14.9297
9200 15.1643 15.1643
9300 15.4532 15.4532
9400 15.5667 15.5667
9500 15.5335 15.5335
9600 15.5944 15.5944
9700 15.8547 15.8547
9800 16.2538 16.2538
9900 16.6235 16.6235
10000 16.7436 16.7436
10100 16.588 16.588
10200 16.4338 16.4338
10300 16.651 16.651
10400 16.6255 16.6255
10500 16.4828 16.4828
10600 16.2125 16.2125
10700 15.9873 15.9873
10800 16.0636 16.0636
10900 16.3425 16.3425
11000 16.8188 16.8188
11100 17.1213 17.1213
11200 17.3209 17.3209
11300 17.4719 17.4719
11400 17.7271 17.7271
11500 18.0126 18.0126
11600 18.3048 18.3048
11700 18.4165 18.4165
11800 18.5877 18.5877
11900 18.8213 18.8213
12000 18.9805 18.9805
12100 19.2639 19.2639
12200 19.6416 19.6416
12300 19.7905 19.7905
12400 20.0635 20.0635
12500 20.2442 20.2442
12600 20.6741 20.6741
12700 21.0044 21.0044
12800 21.156 21.156
12900 21.2401 21.2401
13000 21.372 21.372
13100 21.514 21.514
13200 21.6328 21.6328
13300 21.7801 21.7801
13400 21.9496 21.9496
13500 22.2445 22.2445
13600 22.4107 22.4107
13700 22.5372 22.5372
13800 22.7959 22.7959
13900 22.9194 22.9194
14000 23.1544 23.1544
14100 23.6091 23.6091
14200 23.9275 23.9275
14300 23.9421 23.9421
14400 23.9094 23.9094
14500 23.7913 23.7913
14600 23.6142 23.6142
14700 23.9103 23.9103
14800 24.2019 24.2019
14900 24.2896 24.2896
15000 24.3101 24.3101
15100 24.291 24.291
15200 24.5866 24.5866
15300 25.0739 25.0739
15400 25.3044 25.3044
15500 25.6979 25.6979
15600 26.0473 26.0473
15700 26.1149 26.1149
15800 26.4196 26.4196
15900 26.7479 26.7479
16000 26.8884 26.8884
16100 26.9427 26.9427
16200 27.1149 27.1149
16300 27.5893 27.5893
16400 28.0205 28.0205
16500 27.8295 27.8295
16600 27.3131 27.3131
16700 27.128 27.128
16800 27.3822 27.3822
16900 27.826 27.826
17000 28.2889 28.2889
17100 28.8176 28.8176
17200 29.0941 29.0941
17300 29.5032 29.5032
17400 29.8217 29.8217
17500 29.7256 29.7256
17600 29.5152 29.5152
17700 29.2965 29.2965
17800 29.2134 29.2134
17900 29.1575 29.1575
18000 28.9139 28.9139
18100 28.9988 28.9988
18200 29.2294 29.2294
18300 29.3182 29.3182
18400 29.3585 29.3585
18500 29.8002 29.8002
18600 30.0989 30.0989
18700 30.3777 30.3777
18800 30.8505 30.8505
18900 30.939 30.939
19000 30.6584 30.6584
19100 30.3364 30.3364
19200 30.1324 30.1324
19300 29.7963 29.7963
19400 29.8283 29.8283
19500 29.9235 29.9235
19600 29.8714 29.8714
19700 29.9418 29.9418
19800 30.1123 30.1123
19900 30.4365 30.4365
20000 30.7857 30.7857
20100 31.059 31.059
20200 31.4926 31.4926
20300 31.8748 31.8748
20400 32.1581 32.1581
20500 32.1447 32.1447
20600 32.2438 32.2438
20700 32.392 32.392
20800 32.3426 32.3426
20900 32.1206 32.1206
21000 31.8957 31.8957
21100 31.6915 31.6915
21200 31.6536 31.6536
21300 31.5142 31.5142
21400 31.414 31.414
21500 31.2229 31.2229
21600 31.4037 31.4037
21700 31.6817 31.6817
21800 31.6219 31.6219
21900 31.6778 31.6778
22000 31.9307 31.9307
22100 32.1654 32.1654
22200 32.4117 32.4117
22300 32.32 32.32
22400 32.4176 32.4176
22500 32.641 32.641
22600 32.4891 32.4891
22700 32.6878 32.6878
22800 33.2015 33.2015
22900 33.1287 33.1287
23000 32.656 32.656
23100 32.5945 32.5945
23200 33.2971 33.2971
23300 34.1418 34.1418
23400 34.6266 34.6266
23500 34.9845 34.9845
23600 35.7639 35.7639
23700 36.2889 36.2889
23800 36.6405 36.6405
23900 37.1341 37.1341
24000 37.014 37.014
24100 36.575 36.575
24200 36.3473 36.3473
24300 36.565 36.565
24400 36.9106 36.9106
24500 37.2777 37.2777
24600 37.57 37.57
24700 37.6843 37.6843
24800 37.9033 37.9033
24900 37.9622 37.9622
25000 38.1226 38.1226
25100 38.582 38.582
25200 39.0708 39.0708
25300 39.1964 39.1964
25400 39.2298 39.2298
25500 39.3999 39.3999
25600 39.5468 39.5468
25700 39.6405 39.6405
25800 39.6777 39.6777
25900 39.8337 39.8337
26000 39.9643 39.9643
26100 40.0687 40.0687
26200 40.3999 40.3999
26300 40.8422 40.8422
26400 40.8161 40.8161
26500 40.6937 40.6937
26600 40.9438 40.9438
26700 41.001 41.001
26800 40.8136 40.8136
26900 40.9318 40.9318
27000 41.3105 41.3105
27100 41.6789 41.6789
27200 42.0169 42.0169
27300 42.2183 42.2183
27400 42.4567 42.4567
27500 42.7751 42.7751
27600 43.0381 43.0381
27700 43.5958 43.5958
