# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0656685 0.0656685
200 0.331471 0.331471
300 0.641902 0.641902
400 0.901072 0.901072
500 1.1068 1.1068
600 1.32774 1.32774
700 1.53408 1.53408
800 1.72669 1.72669
900 1.9053 1.9053
1000 2.0441 2.0441
1100 2.13753 2.13753
1200 2.2552 2.2552
1300 2.36504 2.36504
1400 2.47273 2.47273
1500 2.55025 2.55025
1600 2.60764 2.60764
1700 2.71102 2.71102
1800 2.8689 2.8689
1900 3.04462 3.04462
2000 3.31309 3.31309
2100 3.63881 3.63881
2200 3.89822 3.89822
2300 4.06678 4.06678
2400 4.19799 4.19799
2500 4.4676 4.4676
2600 4.66773 4.66773
2700 4.74148 4.74148
2800 4.82237 4.82237
2900 4.93759 4.93759
3000 4.97088 4.97088
3100 4.95341 4.95341
3200 4.92476 4.92476
3300 5.00486 5.00486
3400 5.29674 5.29674
3500 5.60065 5.60065
3600 5.76279 5.76279
3700 5.76489 5.76489
3800 5.71966 5.71966
3900 5.90832 5.90832
4000 6.16792 6.16792
4100 6.45664 6.45664
4200 6.78976 6.78976
4300 7.11414 7.11414
4400 7.42362 7.42362
4500 7.84779 7.84779
4600 8.1121 8.1121
4700 8.1857 8.1857
4800 8.24441 8.24441
4900 8.36003 8.36003
5000 8.46991 8.46991
5100 8.57964 8.57964
5200 8.86606 8.86606
5300 9.2338 9.2338
5400 9.54002 9.54002
5500 9.76858 9.76858
5600 10.1058 10.1058
5700 10.5018 10.5018
5800 10.7609 10.7609
5900 11.1633 11.1633
6000 11.5297 11.5297
6100 11.5705 11.5705
6200 11.6201 11.6201
6300 11.7222 11.7222
6400 11.8795 11.8795
6500 12.0517 12.0517
6600 12.0385 12.0385
6700 11.8534 11.8534
6800 11.7907 11.7907
6900 11.8661 11.8661
7000 12.1303 12.1303
7100 12.3904 12.3904
7200 12.5739 12.5739
7300 12.8879 12.8879
7400 13.287 13.287
7500 13.6195 13.6195
7600 14.02 14.02
7700 14.2214 14.2214
7800 14.6708 14.6708
7900 15.2278 15.2278
8000 15.5877 15.5877
8100 15.7726 15.7726
8200 16.1075 16.1075
8300 16.4531 16.4531
8400 16.6725 16.6725
8500 16.9555 16.9555
8600 17.3593 17.3593
8700 17.6571 17.6571
8800 17.9115 17.9115
8900 17.9877 17.9877
9000 18.0081 18.0081
9100 18.193 18.193
9200 18.3589 18.3589
9300 18.3079 18.3079
9400 18.4009 18.4009
9500 18.3842 18.3842
9600 18.2277 18.2277
9700 18.151 18.151
9800 18.1831 18.1831
9900 18.4791 18.4791
10000 18.5243 18.5243
10100 18.4557 18.4557
10200 18.1974 18.1974
10300 17.7912 17.7912
10400 17.792 17.792
10500 18.053 18.053
10600 18.4889 18.4889
10700 18.5713 18.5713
10800 18.66 18.66
10900 19.0935 19.0935
11000 19.5079 19.5079
11100 19.5771 19.5771
11200 19.6038 19.6038
