# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0748576 0.0748576
200 0.35242 0.35242
300 0.658393 0.658393
400 0.844172 0.844172
500 0.983544 0.983544
600 1.15239 1.15239
700 1.36477 1.36477
800 1.50975 1.50975
900 1.5131 1.5131
1000 1.47624 1.47624
1100 1.51154 1.51154
1200 1.62109 1.62109
1300 1.72947 1.72947
1400 1.82035 1.82035
1500 1.88417 1.88417
1600 1.9729 1.9729
1700 2.18313 2.18313
1800 2.43261 2.43261
1900 2.62789 2.62789
2000 2.71697 2.71697
2100 2.84398 2.84398
2200 3.04114 3.04114
2300 3.1927 3.1927
2400 3.37421 3.37421
2500 3.55705 3.55705
2600 3.69312 3.69312
2700 3.89942 3.89942
2800 4.04817 4.04817
2900 4.28445 4.28445
3000 4.64602 4.64602
3100 4.8964 4.8964
3200 5.10856 5.10856
3300 5.35953 5.35953
3400 5.60653 5.60653
3500 5.85996 5.85996
3600 6.12703 6.12703
3700 6.41924 6.41924
3800 6.70394 6.70394
3900 6.95941 6.95941
4000 7.12447 7.12447
4100 7.24957 7.24957
4200 7.25403 7.25403
4300 7.2115 7.2115
4400 7.3121 7.3121
4500 7.38127 7.38127
4600 7.42383 7.42383
4700 7.60149 7.60149
4800 7.84434 7.84434
4900 8.06823 8.06823
5000 8.05946 8.05946
5100 8.02914 8.02914
5200 8.0904 8.0904
5300 8.40268 8.40268
5400 8.86759 8.86759
5500 9.14985 9.14985
5600 9.27804 9.27804
5700 9.45069 9.45069
5800 9.58922 9.58922
5900 9.69146 9.69146
6000 9.81585 9.81585
6100 9.90129 9.90129
6200 9.82088 9.82088
6300 9.91597 9.91597
6400 10.1618 10.1618
6500 10.309 10.309
6600 10.3729 10.3729
6700 10.4596 10.4596
6800 10.5707 10.5707
6900 10.7362 10.7362
7000 10.9513 10.9513
7100 11.3181 11.3181
7200 11.5028 11.5028
7300 11.6033 11.6033
7400 11.6876 11.6876
7500 11.6023 11.6023
7600 11.4535 11.4535
7700 11.4971 11.4971
7800 11.721 11.721
7900 11.9114 11.9114
8000 12.1377 12.1377
8100 12.6163 12.6163
8200 13.0734 13.0734
8300 13.4034 13.4034
8400 13.7953 13.7953
8500 13.9648 13.9648
8600 13.9445 13.9445
8700 13.8224 13.8224
8800 13.8139 13.8139
8900 14.1186 14.1186
9000 14.3023 14.3023
9100 14.2767 14.2767
9200 14.127 14.127
9300 14.0288 14.0288
9400 14.2007 14.2007
9500 14.5214 14.5214
9600 14.6848 14.6848
9700 14.7187 14.7187
9800 14.7734 14.7734
9900 15.0487 15.0487
10000 15.2965 15.2965
10100 15.4004 15.4004
10200 15.3187 15.3187
10300 15.4702 15.4702
10400 15.7167 15.7167
10500 15.9513 15.9513
10600 16.2004 16.2004
10700 16.5751 16.5751
10800 16.6821 16.6821
10900 16.7754 16.7754
11000 17.3645 17.3645
11100 17.8644 17.8644
11200 18.2785 18.2785
11300 18.5948 18.5948
11400 18.9852 18.9852
11500 19.2208 19.2208
11600 19.3963 19.3963
11700 19.6874 19.6874
11800 20.0736 20.0736
11900 20.284 20.284
12000 20.3137 20.3137
12100 20.4194 20.4194
12200 20.6646 20.6646
12300 20.9569 20.9569
12400 21.2156 21.2156
12500 21.5362 21.5362
12600 21.8588 21.8588
12700 22.0034 22.0034
12800 22.261 22.261
12900 22.3652 22.3652
13000 22.3498 22.3498
13100 22.3967 22.3967
13200 22.2013 22.2013
13300 21.823 21.823
13400 21.9388 21.9388
13500 22.1765 22.1765
13600 22.1284 22.1284
13700 22.1768 22.1768
13800 22.532 22.532
13900 23.0861 23.0861
14000 23.6031 23.6031
14100 24.0259 24.0259
14200 24.1995 24.1995
14300 24.4152 24.4152
14400 24.6697 24.6697
14500 24.888 24.888
14600 24.8252 24.8252
14700 24.9272 24.9272
14800 25.2336 25.2336
14900 25.4164 25.4164
15000 25.6447 25.6447
15100 26.2483 26.2483
15200 26.4836 26.4836
15300 26.5337 26.5337
15400 26.8377 26.8377
15500 27.0229 27.0229
15600 27.0247 27.0247
15700 27.3193 27.3193
15800 27.6924 27.6924
15900 27.3482 27.3482
16000 27.1308 27.1308
16100 27.3664 27.3664
16200 27.5131 27.5131
16300 27.4112 27.4112
16400 27.4368 27.4368
16500 27.6393 27.6393
16600 27.4832 27.4832
16700 27.2779 27.2779
16800 27.4654 27.4654
16900 27.8736 27.8736
17000 28.3934 28.3934
17100 28.5872 28.5872
17200 29.0493 29.0493
17300 29.494 29.494
17400 29.6436 29.6436
17500 29.9008 29.9008
17600 30.1226 30.1226
17700 30.0844 30.0844
17800 30.1424 30.1424
17900 30.2831 30.2831
18000 30.3205 30.3205
18100 30.3259 30.3259
18200 30.1878 30.1878
18300 29.9428 29.9428
18400 30.0175 30.0175
18500 30.377 30.377
18600 30.8054 30.8054
18700 31.0074 31.0074
18800 31.1579 31.1579
18900 31.6028 31.6028
19000 31.9387 31.9387
19100 32.1528 32.1528
19200 32.3124 32.3124
19300 32.1378 32.1378
19400 31.9097 31.9097
19500 31.6129 31.6129
19600 31.2508 31.2508
19700 31.1997 31.1997
19800 31.2394 31.2394
19900 31.4104 31.4104
20000 31.7105 31.7105
20100 31.8454 31.8454
20200 31.7833 31.7833
20300 31.8655 31.8655
20400 32.0033 32.0033
20500 32.1738 32.1738
20600 32.4135 32.4135
20700 32.5268 32.5268
20800 32.2074 32.2074
20900 32.168 32.168
21000 32.1526 32.1526
21100 31.9735 31.9735
21200 31.9601 31.9601
21300 31.9372 31.9372
21400 32.0802 32.0802
21500 32.6296 32.6296
21600 32.8466 32.8466
21700 32.7835 32.7835
21800 33.0406 33.0406
21900 33.5183 33.5183
22000 33.8134 33.8134
22100 33.6022 33.6022
22200 33.3651 33.3651
22300 33.308 33.308
22400 33.035 33.035
22500 33.511 33.511
22600 34.1592 34.1592
22700 34.496 34.496
22800 34.3617 34.3617
22900 34.4013 34.4013
23000 34.5399 34.5399
23100 34.5656 34.5656
23200 34.6111 34.6111
23300 34.8234 34.8234
23400 35.0055 35.0055
23500 35.2594 35.2594
23600 35.5357 35.5357
23700 35.6466 35.6466
23800 35.8906 35.8906
23900 35.9859 35.9859
24000 35.9896 35.9896
24100 36.1064 36.1064
24200 35.7683 35.7683
24300 35.4681 35.4681
24400 35.2614 35.2614
24500 35.2962 35.2962
24600 35.5758 35.5758
24700 36.2088 36.2088
24800 36.7768 36.7768
24900 36.865 36.865
25000 37.0684 37.0684
25100 37.1855 37.1855
25200 37.4809 37.4809
25300 37.7397 37.7397
25400 37.9803 37.9803
25500 38.1412 38.1412
25600 37.9902 37.9902
25700 38.1002 38.1002
25800 38.3329 38.3329
25900 38.6774 38.6774
26000 38.9686 38.9686
26100 38.9656 38.9656
26200 38.9485 38.9485
26300 38.918 38.918
26400 38.9246 38.9246
26500 39.1316 39.1316
26600 39.1603 39.1603
26700 39.413 39.413
26800 39.5253 39.5253
26900 39.528 39.528
27000 39.4011 39.4011
27100 39.6085 39.6085
27200 39.6065 39.6065
27300 39.61 39.61
27400 39.9997 39.9997
27500 40.6197 40.6197
27600 40.9926 40.9926
27700 41.0473 41.0473
27800 40.4627 40.4627
27900 40.1889 40.1889
28000 40.1663 40.1663
28100 40.3712 40.3712
28200 40.6903 40.6903
28300 41.0063 41.0063
28400 41.4971 41.4971
28500 42.0285 42.0285
28600 42.4216 42.4216
28700 42.3731 42.3731
28800 42.3729 42.3729
28900 42.4812 42.4812
29000 42.2631 42.2631
29100 42.1275 42.1275
29200 42.2937 42.2937
29300 42.4491 42.4491
29400 42.5045 42.5045
29500 42.2044 42.2044
29600 41.6272 41.6272
29700 41.3654 41.3654
29800 41.7774 41.7774
29900 42.6201 42.6201
30000 43.4088 43.4088
30100 43.7705 43.7705
30200 43.7241 43.7241
30300 43.4603 43.4603
30400 43.787 43.787
30500 44.1617 44.1617
30600 44.5866 44.5866
30700 44.9423 44.9423
30800 44.8767 44.8767
30900 44.7355 44.7355
31000 45.1119 45.1119
31100 45.2152 45.2152
31200 45.5954 45.5954
31300 46.6332 46.6332
31400 47.4162 47.4162
31500 47.4651 47.4651
31600 47.2814 47.2814
31700 47.006 47.006
31800 47.1772 47.1772
31900 47.2645 47.2645
32000 47.2656 47.2656
32100 47.5653 47.5653
32200 48.067 48.067
32300 47.8616 47.8616
32400 47.276 47.276
32500 47.1451 47.1451
32600 46.9824 46.9824
32700 46.5566 46.5566
32800 46.5388 46.5388
32900 46.8832 46.8832
33000 46.7382 46.7382
33100 46.4024 46.4024
33200 46.6192 46.6192
33300 47.7105 47.7105
33400 48.3746 48.3746
33500 48.322 48.322
33600 48.252 48.252
33700 48.3234 48.3234
33800 48.324 48.324
33900 48.1262 48.1262
34000 48.3894 48.3894
34100 48.794 48.794
34200 49.2578 49.2578
34300 49.6668 49.6668
34400 49.6285 49.6285
34500 49.9469 49.9469
34600 50.0873 50.0873
34700 49.9211 49.9211
34800 50.2667 50.2667
34900 50.6102 50.6102
35000 50.7859 50.7859
35100 51.3481 51.3481
35200 51.6373 51.6373
35300 51.9406 51.9406
35400 52.341 52.341
35500 52.6476 52.6476
35600 52.9388 52.9388
35700 52.9635 52.9635
35800 52.6356 52.6356
35900 52.7912 52.7912
36000 52.7617 52.7617
36100 53.053 53.053
36200 53.6052 53.6052
36300 53.9773 53.9773
36400 54.5106 54.5106
36500 54.5653 54.5653
36600 54.8324 54.8324
36700 55.3396 55.3396
36800 55.2268 55.2268
36900 54.9052 54.9052
37000 54.8225 54.8225
37100 55.0295 55.0295
37200 55.0593 55.0593
37300 54.8984 54.8984
37400 54.8775 54.8775
37500 54.9625 54.9625
37600 54.9162 54.9162
37700 54.9814 54.9814
37800 55.3114 55.3114
37900 56.1127 56.1127
38000 56.9907 56.9907
38100 57.8721 57.8721
38200 58.8201 58.8201
38300 59.8187 59.8187
38400 60.469 60.469
38500 60.7885 60.7885
38600 61.1054 61.1054
38700 61.3015 61.3015
38800 61.8062 61.8062
38900 62.3751 62.3751
39000 63.1871 63.1871
39100 64.0923 64.0923
39200 64.8598 64.8598
39300 65.353 65.353
39400 65.6013 65.6013
39500 66.0698 66.0698
39600 66.0287 66.0287
39700 65.2921 65.2921
39800 64.6708 64.6708
39900 64.5349 64.5349
40000 64.5867 64.5867
40100 64.9164 64.9164
40200 65.5889 65.5889
40300 66.0256 66.0256
40400 66.6068 66.6068
40500 67.1798 67.1798
40600 67.3425 67.3425
40700 67.1757 67.1757
40800 66.7506 66.7506
40900 66.8703 66.8703
41000 67.3444 67.3444
41100 67.7999 67.7999
41200 68.6575 68.6575
41300 69.4202 69.4202
41400 69.6664 69.6664
41500 69.2192 69.2192
41600 68.4082 68.4082
41700 68.236 68.236
41800 68.2332 68.2332
41900 68.5295 68.5295
42000 68.8079 68.8079
42100 68.3355 68.3355
42200 68.1951 68.1951
42300 68.2478 68.2478
42400 68.3711 68.3711
42500 68.3821 68.3821
42600 68.1236 68.1236
42700 68.1922 68.1922
42800 68.4991 68.4991
42900 68.6748 68.6748
43000 69.4818 69.4818
43100 69.7175 69.7175
43200 70.0884 70.0884
43300 70.3698 70.3698
43400 70.582 70.582
43500 70.9631 70.9631
43600 71.3711 71.3711
43700 71.7694 71.7694
43800 72.3193 72.3193
43900 73.2979 73.2979
44000 74.2691 74.2691
44100 74.5838 74.5838
44200 74.227 74.227
44300 74.0605 74.0605
44400 74.2047 74.2047
44500 74.2078 74.2078
44600 74.212 74.212
44700 74.4006 74.4006
44800 74.4601 74.4601
44900 74.8275 74.8275
45000 75.3551 75.3551
45100 75.5961 75.5961
45200 75.8934 75.8934
45300 76.848 76.848
45400 77.5757 77.5757
45500 78.0738 78.0738
45600 78.6629 78.6629
45700 78.8229 78.8229
45800 79.2004 79.2004
45900 79.6936 79.6936
46000 79.6963 79.6963
46100 79.6538 79.6538
46200 79.7773 79.7773
46300 79.7986 79.7986
46400 80.1961 80.1961
46500 80.3589 80.3589
46600 79.7594 79.7594
46700 79.5058 79.5058
46800 79.8853 79.8853
46900 80.0679 80.0679
47000 80.4224 80.4224
47100 80.7577 80.7577
47200 81.0761 81.0761
47300 81.6076 81.6076
47400 81.788 81.788
47500 81.3487 81.3487
47600 81.0729 81.0729
47700 81.5181 81.5181
47800 81.993 81.993
47900 81.8337 81.8337
48000 81.0909 81.0909
48100 80.5277 80.5277
48200 80.381 80.381
48300 80.4897 80.4897
48400 80.6118 80.6118
48500 80.8752 80.8752
48600 81.516 81.516
48700 82.0581 82.0581
48800 82.5454 82.5454
48900 82.7999 82.7999
49000 83.0324 83.0324
49100 82.8868 82.8868
49200 82.6069 82.6069
49300 82.9637 82.9637
49400 83.1313 83.1313
49500 82.9481 82.9481
49600 83.1876 83.1876
49700 83.2884 83.2884
49800 83.3021 83.3021
49900 83.7027 83.7027
50000 83.9724 83.9724
