# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
100 0.0740703 0.0740703
200 0.345609 0.345609
300 0.637356 0.637356
400 0.839333 0.839333
500 1.03939 1.03939
600 1.30117 1.30117
700 1.56998 1.56998
800 1.78319 1.78319
900 1.95333 1.95333
1000 2.12291 2.12291
1100 2.31727 2.31727
1200 2.50752 2.50752
1300 2.67136 2.67136
1400 2.86301 2.86301
1500 3.12832 3.12832
1600 3.3685 3.3685
1700 3.63366 3.63366
1800 3.76034 3.76034
1900 3.8393 3.8393
2000 4.01473 4.01473
2100 4.30532 4.30532
2200 4.5409 4.5409
2300 4.73953 4.73953
2400 5.03312 5.03312
2500 5.29488 5.29488
2600 5.63462 5.63462
2700 6.07615 6.07615
2800 6.49063 6.49063
2900 6.84825 6.84825
3000 7.11637 7.11637
3100 7.39855 7.39855
3200 7.64621 7.64621
3300 7.77545 7.77545
3400 7.93732 7.93732
3500 8.17043 8.17043
3600 8.31688 8.31688
3700 8.33937 8.33937
3800 8.53372 8.53372
3900 8.73694 8.73694
4000 9.04645 9.04645
4100 9.37785 9.37785
4200 9.64864 9.64864
4300 9.66875 9.66875
4400 9.74787 9.74787
4500 9.95031 9.95031
4600 10.0181 10.0181
4700 10.1776 10.1776
4800 10.412 10.412
4900 10.4937 10.4937
5000 10.7346 10.7346
5100 11.0669 11.0669
5200 11.1198 11.1198
5300 11.1456 11.1456
5400 11.1952 11.1952
5500 11.246 11.246
5600 11.3762 11.3762
5700 11.5752 11.5752
5800 11.7696 11.7696
5900 11.8483 11.8483
6000 11.8957 11.8957
6100 11.9998 11.9998
6200 12.2767 12.2767
6300 12.5975 12.5975
6400 12.9237 12.9237
6500 13.3048 13.3048
6600 13.7335 13.7335
6700 13.8053 13.8053
6800 13.6937 13.6937
6900 13.6946 13.6946
7000 13.8815 13.8815
7100 13.8909 13.8909
7200 13.9044 13.9044
7300 14.1617 14.1617
7400 14.2737 14.2737
7500 14.3107 14.3107
7600 14.3971 14.3971
7700 14.6496 14.6496
7800 14.6699 14.6699
7900 14.5195 14.5195
8000 14.6458 14.6458
8100 14.7416 14.7416
8200 14.9441 14.9441
8300 15.0408 15.0408
8400 14.784 14.784
8500 14.8688 14.8688
8600 15.2529 15.2529
8700 15.712 15.712
8800 15.966 15.966
8900 16.3681 16.3681
9000 16.664 16.664
9100 16.825 16.825
9200 16.8546 16.8546
9300 16.849 16.849
9400 17.065 17.065
9500 17.4657 17.4657
9600 17.8089 17.8089
9700 18.2366 18.2366
9800 18.3174 18.3174
9900 18.2612 18.2612
10000 18.3565 18.3565
10100 18.4496 18.4496
10200 18.9593 18.9593
10300 19.7255 19.7255
10400 19.8162 19.8162
10500 19.8104 19.8104
10600 20.0947 20.0947
10700 20.1643 20.1643
10800 20.1042 20.1042
10900 20.1271 20.1271
11000 20.2279 20.2279
11100 20.2969 20.2969
11200 20.3532 20.3532
11300 20.6066 20.6066
11400 21.0621 21.0621
11500 21.3751 21.3751
11600 21.6085 21.6085
11700 21.8993 21.8993
11800 22.2375 22.2375
11900 22.5496 22.5496
12000 22.657 22.657
12100 22.5605 22.5605
12200 22.6905 22.6905
12300 22.9937 22.9937
12400 23.4375 23.4375
12500 23.6798 23.6798
12600 23.5709 23.5709
12700 23.3769 23.3769
12800 23.4249 23.4249
12900 23.7051 23.7051
13000 23.9154 23.9154
13100 24.0696 24.0696
13200 24.2693 24.2693
13300 24.6287 24.6287
13400 24.4103 24.4103
13500 24.253 24.253
13600 24.6214 24.6214
13700 24.8688 24.8688
13800 24.9362 24.9362
13900 25.1927 25.1927
14000 25.5873 25.5873
14100 25.8431 25.8431
14200 25.7991 25.7991
14300 25.7203 25.7203
14400 25.9512 25.9512
14500 26.1348 26.1348
14600 26.0785 26.0785
14700 25.8966 25.8966
14800 26.0451 26.0451
14900 26.2815 26.2815
15000 26.4887 26.4887
15100 26.8515 26.8515
15200 26.9242 26.9242
15300 26.9195 26.9195
15400 27.0659 27.0659
15500 27.1328 27.1328
15600 27.1801 27.1801
15700 27.2096 27.2096
15800 27.4268 27.4268
15900 27.7736 27.7736
16000 27.9995 27.9995
16100 28.3015 28.3015
16200 28.656 28.656
16300 28.8512 28.8512
16400 29.2665 29.2665
16500 29.6248 29.6248
16600 29.8929 29.8929
16700 30.3774 30.3774
16800 30.7413 30.7413
16900 30.9193 30.9193
17000 30.9232 30.9232
17100 31.2916 31.2916
17200 31.478 31.478
17300 31.5946 31.5946
17400 32.0344 32.0344
17500 32.0276 32.0276
17600 31.8874 31.8874
17700 31.9989 31.9989
17800 32.0571 32.0571
17900 31.7296 31.7296
18000 31.5954 31.5954
18100 32.0602 32.0602
18200 32.3615 32.3615
18300 32.2839 32.2839
18400 31.9933 31.9933
18500 31.8705 31.8705
18600 32.2119 32.2119
18700 32.1178 32.1178
18800 32.1695 32.1695
18900 32.5955 32.5955
19000 32.9874 32.9874
19100 33.2974 33.2974
19200 33.6023 33.6023
19300 33.5799 33.5799
19400 33.8521 33.8521
19500 34.254 34.254
19600 34.8082 34.8082
19700 35.4983 35.4983
19800 35.9974 35.9974
19900 36.4533 36.4533
20000 37.0804 37.0804
20100 37.6462 37.6462
20200 38.3135 38.3135
20300 39.0625 39.0625
20400 39.4882 39.4882
20500 39.9432 39.9432
20600 40.2765 40.2765
20700 40.4728 40.4728
20800 40.6398 40.6398
20900 41.4321 41.4321
21000 41.6885 41.6885
21100 41.6113 41.6113
21200 41.7546 41.7546
21300 41.995 41.995
21400 41.655 41.655
21500 41.1482 41.1482
21600 41.3458 41.3458
21700 41.8178 41.8178
21800 42.0343 42.0343
21900 42.3081 42.3081
22000 42.4123 42.4123
22100 42.3151 42.3151
22200 42.5722 42.5722
22300 42.8937 42.8937
22400 42.8994 42.8994
22500 42.9377 42.9377
22600 43.2935 43.2935
22700 43.524 43.524
22800 43.5873 43.5873
22900 43.7736 43.7736
23000 44.3795 44.3795
23100 44.9456 44.9456
23200 45.3552 45.3552
23300 45.4852 45.4852
23400 45.3858 45.3858
23500 45.4796 45.4796
23600 45.6115 45.6115
23700 45.8426 45.8426
23800 46.0573 46.0573
23900 46.1735 46.1735
24000 46.146 46.146
24100 45.6703 45.6703
24200 45.0466 45.0466
24300 44.9593 44.9593
24400 45.3292 45.3292
24500 45.5847 45.5847
24600 46.3027 46.3027
24700 46.9455 46.9455
24800 47.3625 47.3625
24900 48.1079 48.1079
25000 49.1935 49.1935
25100 49.8522 49.8522
25200 49.7327 49.7327
25300 49.3254 49.3254
25400 49.3537 49.3537
25500 49.1849 49.1849
25600 48.758 48.758
25700 48.5275 48.5275
25800 49.1952 49.1952
25900 49.2569 49.2569
26000 48.9055 48.9055
26100 49.0497 49.0497
26200 49.4882 49.4882
26300 49.7458 49.7458
26400 49.4226 49.4226
26500 49.4335 49.4335
26600 49.785 49.785
26700 50.3638 50.3638
26800 50.7365 50.7365
26900 50.9416 50.9416
27000 50.9674 50.9674
27100 50.9336 50.9336
27200 50.7859 50.7859
27300 50.6657 50.6657
27400 50.8731 50.8731
27500 50.6627 50.6627
27600 50.5662 50.5662
27700 50.9092 50.9092
27800 51.0845 51.0845
27900 50.9226 50.9226
28000 51.1454 51.1454
28100 51.2908 51.2908
28200 51.2238 51.2238
28300 51.0628 51.0628
28400 50.9432 50.9432
28500 50.2454 50.2454
28600 50.2804 50.2804
28700 51.0691 51.0691
28800 51.3312 51.3312
28900 51.6415 51.6415
