# Time-averaged data for fix 2
# TimeStep c_my_msd[4] c_msd_com[4]
24700 35.1476 35.1476
24800 35.1452 35.1452
24900 35.1494 35.1494
25000 35.5255 35.5255
25100 35.933 35.933
25200 36.0078 36.0078
25300 36.1096 36.1096
25400 36.3228 36.3228
25500 36.4762 36.4762
25600 36.6481 36.6481
25700 36.5671 36.5671
25800 36.0608 36.0608
25900 35.789 35.789
26000 36.0107 36.0107
26100 36.3525 36.3525
26200 36.6846 36.6846
26300 36.9929 36.9929
26400 37.233 37.233
26500 37.2173 37.2173
26600 37.0096 37.0096
26700 36.9886 36.9886
26800 37.3025 37.3025
26900 37.6364 37.6364
27000 37.7744 37.7744
27100 38.2168 38.2168
27200 38.7393 38.7393
27300 38.8729 38.8729
27400 39.2283 39.2283
27500 39.626 39.626
27600 39.7398 39.7398
27700 39.7695 39.7695
27800 40.1073 40.1073
27900 40.3906 40.3906
28000 40.3656 40.3656
28100 40.367 40.367
28200 40.2795 40.2795
28300 40.3358 40.3358
28400 40.6407 40.6407
28500 41.1549 41.1549
28600 41.8112 41.8112
28700 42.2158 42.2158
28800 42.0259 42.0259
28900 41.5502 41.5502
29000 41.4062 41.4062
29100 41.7838 41.7838
29200 41.975 41.975
29300 42.064 42.064
29400 42.2266 42.2266
29500 42.4151 42.4151
29600 42.2487 42.2487
29700 41.8768 41.8768
29800 41.772 41.772
29900 41.6728 41.6728
30000 41.6785 41.6785
30100 41.7196 41.7196
30200 41.4393 41.4393
30300 41.6544 41.6544
30400 41.7762 41.7762
30500 41.9166 41.9166
30600 41.8806 41.8806
30700 41.5362 41.5362
30800 41.184 41.184
30900 41.3815 41.3815
31000 41.8912 41.8912
31100 41.9826 41.9826
31200 42.0005 42.0005
31300 42.2105 42.2105
31400 42.5781 42.5781
31500 42.9705 42.9705
31600 43.4981 43.4981
31700 44.1405 44.1405
31800 44.0043 44.0043
31900 43.8734 43.8734
32000 44.312 44.312
32100 44.5673 44.5673
32200 44.6109 44.6109
32300 44.6273 44.6273
32400 44.9625 44.9625
32500 45.2265 45.2265
32600 45.3769 45.3769
32700 45.897 45.897
32800 46.3037 46.3037
32900 46.3928 46.3928
33000 46.4363 46.4363
33100 46.5112 46.5112
33200 46.5365 46.5365
33300 46.6772 46.6772
33400 46.8713 46.8713
33500 46.9876 46.9876
33600 47.0532 47.0532
33700 46.9581 46.9581
33800 46.7246 46.7246
33900 46.7445 46.7445
34000 46.8702 46.8702
34100 47.1294 47.1294
34200 47.1658 47.1658
34300 47.0559 47.0559
34400 47.3747 47.3747
34500 48.2788 48.2788
34600 49.0928 49.0928
34700 49.4524 49.4524
34800 49.7625 49.7625
34900 49.8037 49.8037
35000 49.8179 49.8179
35100 50.1082 50.1082
35200 50.039 50.039
35300 49.8167 49.8167
35400 50.0331 50.0331
35500 49.6767 49.6767
35600 49.2332 49.2332
35700 49.2908 49.2908
35800 49.3465 49.3465
35900 50.035 50.035
36000 50.5462 50.5462
36100 51.1413 51.1413
36200 51.8071 51.8071
36300 52.5987 52.5987
36400 53.2215 53.2215
36500 53.2311 53.2311
36600 52.9303 52.9303
36700 52.5177 52.5177
36800 52.1039 52.1039
36900 51.7163 51.7163
37000 51.6394 51.6394
37100 52.1287 52.1287
37200 52.6421 52.6421
37300 52.7545 52.7545
37400 53.0945 53.0945
37500 53.7508 53.7508
37600 54.3259 54.3259
37700 54.3619 54.3619
37800 54.4717 54.4717
37900 54.8037 54.8037
38000 54.7358 54.7358
38100 55.0164 55.0164
38200 55.6792 55.6792
38300 56.0217 56.0217
38400 56.2888 56.2888
38500 56.3395 56.3395
38600 56.6182 56.6182
38700 56.8238 56.8238
38800 56.4628 56.4628
38900 55.9593 55.9593
39000 55.7153 55.7153
39100 55.6058 55.6058
39200 55.7841 55.7841
39300 56.1265 56.1265
39400 56.108 56.108
39500 55.9535 55.9535
39600 56.3214 56.3214
39700 56.64 56.64
39800 57.0204 57.0204
39900 57.8048 57.8048
40000 58.3757 58.3757
40100 58.2182 58.2182
40200 57.8843 57.8843
40300 57.6654 57.6654
40400 57.927 57.927
40500 58.6523 58.6523
40600 59.3706 59.3706
40700 59.5731 59.5731
40800 59.4149 59.4149
40900 59.1442 59.1442
41000 59.1047 59.1047
41100 59.4234 59.4234
41200 59.5913 59.5913
41300 59.3774 59.3774
41400 59.907 59.907
41500 60.1519 60.1519
41600 59.892 59.892
41700 60.082 60.082
41800 60.4036 60.4036
41900 60.3378 60.3378
42000 60.4495 60.4495
42100 60.8009 60.8009
42200 61.126 61.126
42300 61.4619 61.4619
42400 61.3201 61.3201
42500 61.3965 61.3965
42600 61.7065 61.7065
42700 62.0549 62.0549
42800 62.7685 62.7685
42900 63.5388 63.5388
43000 63.7431 63.7431
43100 63.2118 63.2118
43200 62.9238 62.9238
43300 62.9618 62.9618
43400 63.1715 63.1715
43500 63.771 63.771
43600 64.0632 64.0632
43700 63.8597 63.8597
43800 63.5041 63.5041
43900 63.6217 63.6217
44000 64.0896 64.0896
44100 64.5859 64.5859
44200 65.301 65.301
44300 66.0366 66.0366
44400 66.6667 66.6667
44500 66.8649 66.8649
44600 66.9374 66.9374
44700 66.9982 66.9982
44800 67.2074 67.2074
44900 67.4798 67.4798
45000 67.6128 67.6128
45100 67.3978 67.3978
45200 67.2197 67.2197
45300 67.2494 67.2494
45400 67.1094 67.1094
45500 66.7456 66.7456
45600 66.8064 66.8064
45700 67.2368 67.2368
45800 67.594 67.594
45900 67.4293 67.4293
46000 66.854 66.854
46100 66.1432 66.1432
46200 66.2521 66.2521
46300 66.7724 66.7724
46400 66.9241 66.9241
46500 67.0747 67.0747
46600 67.4752 67.4752
46700 67.6581 67.6581
46800 67.6346 67.6346
46900 67.6613 67.6613
47000 67.6867 67.6867
47100 68.1594 68.1594
47200 68.587 68.587
47300 68.485 68.485
47400 68.6768 68.6768
47500 69.0952 69.0952
47600 69.1272 69.1272
47700 69.1481 69.1481
47800 69.3193 69.3193
47900 69.5212 69.5212
48000 69.3593 69.3593
48100 69.7869 69.7869
48200 70.3653 70.3653
48300 70.0897 70.0897
48400 69.7156 69.7156
48500 69.6539 69.6539
48600 69.7642 69.7642
48700 69.9242 69.9242
48800 69.9826 69.9826
48900 70.3508 70.3508
49000 70.9231 70.9231
49100 71.6446 71.6446
49200 72.088 72.088
49300 71.958 71.958
49400 71.7924 71.7924
49500 71.9601 71.9601
49600 72.4085 72.4085
49700 72.72 72.72
49800 72.8152 72.8152
49900 72.7562 72.7562
50000 72.7203 72.7203
